Post Url,Raw Caption,Skater,Pants
"https://www.instagram.com/p/CC3OMj4lEaJ/
","@barneypage wearing @soursolution pants.  What a great fit!
",@barneypage,@soursolution pants
"https://www.instagram.com/p/CC0n8jilOrn/
","@tannrrlawlrr wearing @altamont regular fit jeans (34x34). What a great fit!
",@tannrrlawlrr,@altamont regular fit jeans (34x34)
"https://www.instagram.com/p/CCyHxlYFkKr/
","@thaynancosta wearing @enjoi jeans.  What a great fit!
",@thaynancosta,@enjoi jeans
"https://www.instagram.com/p/CCvXkOclr1V/
","@kevinbrotherbraun wearing @dockerskhakis corduroys.  What a great fit!
",@kevinbrotherbraun,@dockerskhakis corduroys
"https://www.instagram.com/p/CCs2l-klcPu/
","@dylanjaeb wearing @dickies flex fit (36x30). What a great fit!
",@dylanjaeb,@dickies flex fit (36x30)
"https://www.instagram.com/p/CCqdVgrFytX/
","@jake_wooten wearing J Riggins “American Made” corduroy pants.  What a great fit!
",@jake_wooten,J Riggins “American Made” corduroy pants
"https://www.instagram.com/p/CCnqUg6lGnm/
","@nisseing wearing @dickiesskate 874 original fit.  What a great fit!
",@nisseing,@dickiesskate 874 original fit
"https://www.instagram.com/p/CClH_KAFZrO/
","@avimalina wearing vintage @tommyhilfiger jeans.  What a great fit!
",@avimalina,vintage @tommyhilfiger jeans
"https://www.instagram.com/p/CCgyBcXF74A/
","@ryantownley wearing @dickiesskate 874 flex.  What a great fit! #shuvitcancer
",@ryantownley,@dickiesskate 874 flex
"https://www.instagram.com/p/CCgVsoLFIQm/
","@erikhherrera wearing @redkap Dura-Kap Industrial Work Pants.  What a great fit!
",@erikhherrera,@redkap Dura-Kap Industrial Work Pants
"https://www.instagram.com/p/CCeX1FAl2JD/
","Submission Post: @peganpegan wearing @wearpedritos. Trying something new here and featuring submissions I receive.  Thoughts?
",@peganpegan,@wearpedritos. Trying something new here and featuring submissions I receive
"https://www.instagram.com/p/CCdgKXllZnl/
","@don_bonbon__ wearing @polarskateco 93s in light blue.  What a great fit!
",@don_bonbon__,@polarskateco 93s in light blue
"https://www.instagram.com/p/CCbs7y2FcVh/
","@jamminonone wearing @tightbooth pants.  What a great fit!
",@jamminonone,@tightbooth pants
"https://www.instagram.com/p/CCZk1BBlIRP/
","@carlisleaikens wearing @polarskateco big boy cords and @bradcromer wearing vintage @levis silver tabs.  What great fits!
",@carlisleaikens,@polarskateco big boy cords and @bradcromer wearing vintage @levis silver tabs
"https://www.instagram.com/p/CCYV-JVlcfQ/
","@noahnayef wearing @polarskateco ‘93 cords pants.  What a great fit!
",@noahnayef,@polarskateco ‘93 cords pants
"https://www.instagram.com/p/CCVw8GYlNEO/
","@dennypham wearing @skatedeluxe_skateshop SK8DLX Cargo Pants.  What a great fit!
",@dennypham,@skatedeluxe_skateshop SK8DLX Cargo Pants
"https://www.instagram.com/p/CCTS5-dFV5v/
","@kaygeezeee wearing @polarskateco big boys.  What a great fit!
",@kaygeezeee,@polarskateco big boys
"https://www.instagram.com/p/CCQ6kgMFpyB/
","@josefskottjatta wearing @dc_skateboarding relaxed fit jeans.  What a great fit!
",@josefskottjatta,@dc_skateboarding relaxed fit jeans
"https://www.instagram.com/p/CCOZVdsFS09/
","@chimaferguson wearing @wrangler U shape straight fit jeans.  What a great fit!
",@chimaferguson,@wrangler U shape straight fit jeans
"https://www.instagram.com/p/CCMDBp1F1ol/
","@boycottbillionaire wearing @checksdowntown Carpenter Pants.  What a great fit!
",@boycottbillionaire,@checksdowntown Carpenter Pants
"https://www.instagram.com/p/CCI3hjylbNJ/
","@lil_tubsy wearing @polarskateco Big Boys.  What a great fit!
",@lil_tubsy,@polarskateco Big Boys
